"Entry type","Autor einheitl.","Vollständiger Titel","Druckjahr","Verlagsort","Link zum Digitalisat"
"OLD","Chirchmair, Matthias","Gramatica della lingua tedesca dal medesimo nella 4. Ed. Aumentata oranuso. Corretta, accresciuta ed all’uso moderno accodomata da un Sassone Letterato","1778","",""
"OLD","Chirchmair, Matthias","Grammatica della lingua tedesca: aumentata, purgata da innumeri erori di stampa, accrescivta et all’vso moderno accomodata","1783","Klagenfurt",""
"OLD","Chirchmair, Matthias","Gramatica della lingua todesca","1799","Venedig",""
"OLD","Chirchmair, Matthias","Grammatica della lingua Todesca ed italiana = Gramatick oder Unterricht der Teutsch- und Welschen Sprech","1820","Trient",""
"OLD","Chirchmair, Matthias","Gramatic oder Unterricht der teutsch, und welschen Sprach Eröffnet und in diser anderen hervorgebung gemehrt","","Trient",""
"NEW","Duez, Nathanael","Le vray guidon de la langue françoise","1639","Leiden","https://books.google.be/books?id=aXFQBc2y3sYC&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false"
"OLD","Duez, Nathanael","Nova nomenclatura quatuor linguarum","1640","Leiden","https://www.google.de/books/edition/Nova_nomenclatura_quatuor_linguarum_Gall/blizIQuOSvYC?hl=de&gbpv=0"
"OLD","Duez, Nathanael","Dictionaire françois-alleman-latin ... Dictionarium germanico-gallico-latinum","1642","Leiden","https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb10779612-6"
"OLD","Duez, Nathanael","Le vray guidon de la langue françoise","1643","Leiden","http://idb.ub.uni-tuebingen.de/diglit/CkVI5"
"OLD","Duez, Nathanael","Nova nomenclatura quatuor linguarum","1644","Leiden","https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb10779616-8"
"OLD","Duez, Nathanael","Le vray guidon de la langue françoise","1646","Leiden","https://digitalisate.sub.uni-hamburg.de/recherche/detail?tx_dlf%5Bid%5D=46803&tx_dlf%5Bpage%5D=7&tx_dlf_navigation%5Bcontroller%5D=Navigation&cHash=1f0963102e442279c90819636b59070b"
"OLD","Duez, Nathanael","Dictionnaire françois-allemand-latin ... Dictionarium germanico-gallico-latinum","1650","Amsterdam, Leiden","https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb10779614-7"
"OLD","Duez, Nathanael","Dictionnaire François - Allemand - Latin et Allemand - François - Latin; : revue, corrigé, & augmenté de plus d'un tiers en cette troisiéme Edition","1650","Genf",""
"OLD","Duez, Nathanael","Nova nomenclatura quatuor linguarum","1652","Leiden","https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb10779617-4"
"OLD","Duez, Nathanael","Le vray et parfait guidon de la langue françoise","1653","Leiden","http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10587063-5"
"OLD","Duez, Nathanael","Le vray et parfait guidon de la langue françoise","1657","Leiden","http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb11105044-6"
"OLD","Duez, Nathanael","Kurtze frantzösische Grammatica","1659","Hanau","http://digital.slub-dresden.de/id323619479"
"OLD","Duez, Nathanael","Kurtze frantzösische Grammatica [variants A, B]","1661","Hanau","https://archive.thulb.uni-jena.de/hisbest/receive/HisBest_cbu_00038281"
"OLD","Duez, Nathanael","Le vray et parfait guidon de la langue françoise","1662","Amsterdam","https://books.google.nl/books?id=Jg5NAAAAcAAJ&lpg=PP7&dq=Duez%2C%20Nathanael%3A%20Le%20vray%20guidon%20de%20la%20langue%20francoise&hl=de&pg=PP7#v=onepage&q&f=false"
"OLD","Duez, Nathanael","Nova nomenclatura quatuor linguarum","1663","Amsterdam","https://books.googleusercontent.com/books/content?req=AKW5QafzlHCNdxN5JR30Mj8E2qw9olndY5-PNpq6oVNa_5-56yCYdkcEIkVfZqNfQC7QuSsvDXe7W9OGJYzb2DDaEaShmUIzBKc3EQsB0oQnwulWSneaTHxQY98bcSpz4xk4d7hoMweAD4Vy31LSK76uFj0r0_4xnF0VKWGQWZTWi_hrOVX7_kvKJGT2pfKNL99HtQqM4x8y5SPwdrhQ22Q5uNfG5Io9idSKS5fdPIqTXpMp5r5egb77T1W-_IZM38VIWXxQoN1tRsXBOPU5kVLcL0ntrWOiL7y-XaASw3HT19nq7qAQ93I"
"OLD","Duez, Nathanael","Dictionnaire françois-allemand-latin ... Dictionarium germanico-gallico-latinum [variants A, B]","1663","Genf","https://www.google.de/books/edition/Dictionarium_Germanico_Gallico_Latinum_T/EV2ggrH1GHMC?hl=de&gbpv=0"
"OLD","Duez, Nathanael","Dictionnaire françois-allemand-latin ... Dictionarium germanico-gallico-latinum","1663","Genf","https://www.google.de/books/edition/Dictionnaire_fran%C3%A7ois_allemand_latin_et/JetPahlXN64C?hl=de&gbpv=0"
"OLD","Duez, Nathanael","Dictionarium gallico-germanico-latinum ... Dictionarium germanico-gallico-latinum","1664","Amsterdam","https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb10691013-6"
"OLD","Duez, Nathanael","Kurtze frantzösische Grammatica","1666","Hanau","http://www5.kb.dk/books/amsc/2017/aug/121660069669"
"OLD","Duez, Nathanael","Compendium grammaticae germanicae","1668","Amsterdam","https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb11009961-7"
"OLD","Duez, Nathanael","Le vray et parfait guidon de la Iangue françoise [edition
A, variants Aa, Ab]","1669","Amsterdam","https://gallica.bnf.fr/ark:/12148/bpt6k77256"
"OLD","Duez, Nathanael","Le vray et parfait guidon de la langue françoise [edition B, variants Ba, Bb]","1669","Amsterdam","https://gallica.bnf.fr/ark:/12148/bpt6k50574x"
"OLD","Duez, Nathanael","Kurtze frantzösische Grammatica","1670","Hanau","http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10587008-0"
"OLD","Duez, Nathanael","Dictionarium Germanico-Gallico-Latinum = Teutsch/ Frantzösisch/ und Lateinisch Dictionarium / In Diesem Dritten Truck trefflich vermehrt und verbessert Durch Nathanael Duez, Frantzös. Ital. und Teutschen Sprachmeister","1671","Genf",""
"OLD","Duez, Nathanael","Neuvermehrte und verbesserte französische Grammatica","1671","Hanau","http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11280335-0"
"OLD","Duez, Nathanael","Dictionnaire françois-allemand-latin ... Dictionarium germanico-gallico-latinum","1673","Genf",""
"OLD","Duez, Nathanael","Weegweiser Zur Italianischen Sprach","1673","München","https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10587995-0"
"OLD","Duez, Nathanael","Neuvermehrte und verbesserte französische Grammatica [variants A, B]","1674","Hanau","http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10587061-4"
"OLD","Duez, Nathanael","Neuvermehrte und verbesserte französische Grammatica","1676","Hanau",""
"OLD","Duez, Nathanael","Neuvermehrte und verbesserte frantzösische Grammatica","1679","Frankfurt a. M., Hanau?","http://digital.slub-dresden.de/id494211768"
"OLD","Duez, Nathanael","Diverses proverbes, françois et allemans. Usités dans les entretiens et discours familiers fort utiles pour ceux qui veulent apprendre les dites langues","1679","Frankfurt a. M.","https://books.google.de/books?id=am9pAAAAcAAJ&printsec=frontcover&hl=de#v=onepage&q&f=false]"
"OLD","Duez, Nathanael","Neuvermehrte und verbesserte frantzösische Grammatica","1682","Frankfurt a. M., Hanau?","http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11346578-3"
