"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9Z2D2V3T","journalArticle","2014","Glück, Helmut","The history of German as a foreign language in Europe (translated and with additional notes by Nicola McLelland)","Language and History","","","","","","2014","2026-06-03 15:15:01","2026-06-03T15:15:01Z","","44–58","","1","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AM9XB7WX","bookSection","2011","Glück, Helmut","Die Fremdsprache Frühneuhochdeutsch","Frühneuhochdeutsch – Aufgaben und Probleme seiner linguistischen Beschreibung","978-3-487-14657-7","","","","","2011","2026-06-03 15:13:59","2026-06-03T15:13:59Z","","97-156","","","","","","","Germanistische Linguistik","215","","","Olms","Hildesheim","","","","","","Library Catalog - gso.gbv.de","","","","","","","","Lobenstein-Reichmann, Anja; Reichmann, Oskar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2XPGVIJC","journalArticle","2002","Glück, Helmut","Wie haben die Hugenotten Deutsch gelernt?","Deutsch als Fremdsprache","","","","https://www.dafdigital.de/.download/_sid/DRMX-607398-LYrG/115472/daf_20020307.pdf","","2002","2026-06-03 15:12:51","2026-06-03T15:12:51Z","","172-177","","3","39","","","Wie haben die Hugenotten Deutsch gelernt?","","","","","","","ger","","","","","fu-berlin.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5AX7UKPP","journalArticle","2009","García Bascuñana, Juan Francisco","Théorie et pratique du multilinguisme au XVIIe siècle. À propos de Juan Ángel de Sumarán, interprète, professeur et auteur d’ouvrages pour l’enseignement des langues vivantes","Documents pour l’histoire du français langue étrangère ou seconde","","","","","","2009","2026-06-03 15:06:11","2026-06-03T15:06:11Z","","1–9","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IR6M6QGT","journalArticle","2005","García Bascuñana, Juan Francisco","Materiales para la enseñanza del francés en España: aproximación a los manuales publicados entre los Siglos XVI y XX","Revista Interuniversitaria de Formación del Profesorado","","0213-8646, 2530-3791","","https://www.redalyc.org/articulo.oa?id=27419207","El presente artículo pretende llevar a cabo una breve aproximación a la historia de la enseñanza del francés en España, a través de las gramáticas y manuales de esa lengua dirigidos a españoles y publicados entre los siglos XVI y XX. Se trata de presentar unos materiales especialmente ricos y significativos, tanto desde el punto de vista estrictamente lingüístico y metodológico como desde el punto de vista sociocultural.","2005","2026-06-03 15:05:53","2026-06-03T15:05:53Z","2022-02-17 11:09:46","129-144","","2","19","","","Materiales para la enseñanza del francés en España","","","","","","","Español","","","","","www.redalyc.org","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWJV5GCC","journalArticle","2002","Franceschini, Rita","Lo scritto che imita il parlato: i manuali di conversazione dal ’400 al ’700 e la loro importanza per la storia dell’italiano parlato","Linguistica e Filologia","","","","","","2002","2026-06-03 15:03:35","2026-06-03T15:03:35Z","","129–154","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZFBMY53K","bookSection","2013","Franceschini, Rita","History of multilingualism","The Encyclopedia of Applied Linguistics","978-1-4051-9473-0 978-1-4051-9843-1","","10.1002/9781405198431.wbeal0511","https://onlinelibrary.wiley.com/doi/10.1002/9781405198431.wbeal0511","Abstract             Multilingualism is a human potentiality which can be developed when circumstances permit it anywhere and at any time throughout human evolution: Sporadic or prolonged language contact between populations through cohabitation, trade, intermarriage, conquest, exploration, travel, or shared interests raises the desire or need for exchange.","2013","2026-06-03 14:59:12","2026-06-03T14:59:12Z","2026-03-06 12:09:38","2526-2534","","","","","","","","","","","Wiley","Hoboken","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","","","","","Chapelle, Carol A.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X6C9PHUH","book","2004","Fischer, Denise; García Bascuñana, Juan F.; Gómez, María Trinidad","Repertorio de gramáticas y manuales para la enseñanza del francés en España (1565-1940)","","978-84-477-0879-6","","","","","2004","2026-06-03 14:58:57","2026-06-03T14:58:57Z","","","","","","","","","","","","","PPU","Barcelona","Spanish","","","","","Open WorldCat","","OCLC: 758235129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9TZAPZR9","journalArticle","2013","Filatkina, Natalia","<i>Graw rock rydt nicht</i>. Russisch-niederdeutsche Sprachlehrbücher zwischen zwei Sprachen und Kulturen","Niederdeutsches Wort","","","","","","2013","2026-06-03 14:57:50","2026-06-03T14:57:50Z","","39-63","","","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XVVLAUD4","journalArticle","2009","Budziak, Renata","Die Lehrbuchtradition des Sebald Heyden. Ein Schülergesprächsbuch aus dem frühen 16. Jahrhundert und seine Krakauer Ausgabe","Zeitschrift für deutsche Philologie","","","","","","2009","2026-06-03 14:43:11","2026-06-03T14:43:11Z","","81-93","","1","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
