"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VVUP53GN","bookSection","2026","Fleischer, Jürg","Der Wert von Canels <i>Königlicher Teutscher Grammatic </i>(Nürnberg 1689) als Quelle für die historische Morphosyntax des Deutschen: Ergebnisse eines Close Reading","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","49-69","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RWW86BXH","bookSection","2026","Freywald, Ulrike","Frühneuhochdeutsche Syntax und konzeptionelle Mündlichkeit in zwei Fremdsprachenlehrwerken des 17. Jahrhunderts","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","71-99","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V5XDLMWT","bookSection","2026","Büchler, Liv","Referenzielle Funktionen des Pronomens <i>man</i> in historischen Fremdsprachenlehrwerken – Potenziale eines Close Reading","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","101-125","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VR5S9FRZ","bookSection","2026","Schrott, Angela","Das <i>Newe Sprachbuch</i> des Juan Angel de Sumaran aus der Perspektive der historischen Gesprächsforschung","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","159-177","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UHCX3DD8","bookSection","2026","Vogl, Ulrike","Der Fremdsprachenlehrer als Native Speaker, Didaktikexperte oder Grammatikkenner? Veränderte Autoritätsansprüche vor dem Hintergrund des Aufkommens der Standardsprachenideologie","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","249-265","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V5JPZMUY","bookSection","2026","Masiero, Federica","Formen des Sprachvergleichs in Fremdsprachenlehrwerken aus dem 17. Jahrhundert","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","267-285","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFDQURD8","bookSection","2026","Patrukhina, Liubov","Lehrwerke des 17. Jahrhunderts aus Perspektive der gegenwärtigen Fremdsprachendidaktik: Vermittlung von Lexik und Pragmatik im deutsch-französischen Vergleich. Linguistic Close Reading des ersten Dialogs in <i>Das Newe Sprachbuch </i>(1621) von Juan Ángel de Sumaran","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","288-303","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VFQ4IHPR","bookSection","2026","McLelland, Nicola","<i>Language Making </i>in DaF-Werken für Englisch- und Französischsprachige im späten 17. Jahrhundert? Martin Aedlers <i>High Dutch Minerva</i> (1680) und Heinrich Offelens <i>Double Grammar</i> (1687) verglichen mit Pierre Canels <i>Königlicher Teutschen Grammatic</i> (1689)","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","229-247","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P64TWPR7","bookSection","2026","Voeste, Anja","Sprachlehrwerke des 17. Jahrhunderts neu betrachtet: Eine schriftlinguistische Annäherung","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","17-29","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N37NUHNJ","bookSection","2026","Panne, Laura","Die Aussprache des Deutschen im 17. Jahrhundert nach Pierre Canel (1689) im Vergleich zu anderen Fremdsprachenlehrwerken","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","31-48","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V67ZCZY5","book","2026","","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","978-3-447-12549-9","","10.13173/9783447125499","","","2026","2026-06-09 17:58:52","2026-06-09T17:58:52Z","","","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TF8RI5X4","book","2024","","Die Sprachen der Frühen Neuzeit. Europäische und globale Perspektiven","","978-3-412-53081-5","","","","","2024","2026-06-09 17:40:09","2026-06-09T17:40:09Z","","","674","","","","","","Frühneuzeit-Impulse","6","","","Böhlau","Köln","","","","","","","","","","","","","","Häberlein, Mark; Flurschütz da Cruz, Andreas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
